swallowing difficulty|C0011168
swallowing disorder|C0011168
disorders, deglutition|C0011168
dysphagia|C0011168
disorder deglutition|C0011168
dysphagia, nos|C0011168
difficulty swallowing|C0011168
cannot get food down|C0011168
poor swallowing|C0011168
difficult swallowing|C0011168
difficulty in swallowing|C0011168
difficulty in swallowing nos|C0011168
dysphagia, unspecified|C0011168
dysphagias|C0011168
deglutition disorder|C0011168
can't get food down|C0011168
difficulties swallowing|C0011168
deglutition disorders|C0011168
deliria|C0011206
brain syndrome acute|C0011206
delirium, nos|C0011206
acute delirium|C0011206
delirium nos|C0011206
unspecified delirium|C0011206
delirious|C0011206
acute brain syndrome, nos|C0011206
acute brain syndrome|C0011206
delirium, unspecified|C0011206
abs - acute brain syndrome|C0011206
delirium|C0011206
syndrome brain acute|C0011206
delirium acute|C0011206
delusions|C0011253
delusional thoughts|C0011253
delusional|C0011253
delusion, nos|C0011253
delusional symptoms|C0011253
delusion nos|C0011253
delusional ideas|C0011253
fixed beliefs contradicted by reality|C0011253
delusion|C0011253
depressive disorder|C0011581
neurosis, depressive|C0011581
depressive disorders|C0011581
disorder, depressive|C0011581
depressivity|C0011581
depressive disorder, nos|C0011581
depression nos|C0011581
depressive neuroses|C0011581
depressive illness|C0011581
depressive disorder nos|C0011581
mood disorder of depressed type|C0011581
neuroses, depressive|C0011581
disorders, depressive|C0011581
depressive neurosis|C0011581
depression|C0011581
diabetes nos|C0011847
diabetes|C0011847
diabetes mellitus nos late onset|C0011860
diabetes mellitus, slow-onset|C0011860
diabetes mellitus, type 2|C0011860
diabetes mellitus, adult onset|C0011860
type ii diabetes mellitus|C0011860
type ii diabetes|C0011860
diabetes mellitus, noninsulin dependent|C0011860
maturity-onset diabetes|C0011860
diabetes mellitus, noninsulin-dependent|C0011860
diabetes mellitus, stable|C0011860
diabetes mellitus, type ii|C0011860
diabetes|C0011860
diabete type 2|C0011860
diabetes mellitus, adult onset type|C0011860
diabetes, maturity onset|C0011860
diabetes mellitus, ketosis-resistant|C0011860
diabetes mellitus, adult-onset|C0011860
diabetes, maturity-onset|C0011860
diabetes mellitus type 2|C0011860
diabetes mellitus, non insulin dependent|C0011860
diabetes mellitus, ketosis resistant|C0011860
ketosis-resistant diabetes mellitus|C0011860
ketosis resistant diabetes|C0011860
diabetes mellitus, maturity-onset|C0011860
stable diabetes mellitus|C0011860
diabetes, ketosis resistant|C0011860
diabetes, type 2|C0011860
adult onset diabetes|C0011860
diabetes, adult onset|C0011860
diabetes, type ii|C0011860
diabetes mellitus, maturity onset|C0011860
non insulin dependent diabetes|C0011860
adult onset diabetes mellitus|C0011860
type 2 diabetes mellitus non-insulin dependent|C0011860
diabetes mellitus, slow onset|C0011860
slow-onset diabetes mellitus|C0011860
non-insulin-dependent diabetes mellitus|C0011860
ncdmm|C0011860
diabetes type 2|C0011860
adult-onset diabetes|C0011860
adult-onset diabetes mellitus|C0011860
type 2 diabetes|C0011860
non-insulin-dependent diabetes|C0011860
diabetes type ii|C0011860
t2dm - type 2 diabetes mellitus|C0011860
niddm|C0011860
niddm diabetes mellitus|C0011860
niddm - non-insulin dependent diabetes mellitus|C0011860
late onset diabetes|C0011860
t2dm - diabetes mellitus type 2|C0011860
type 2 diabetes mellitus|C0011860
non-insulin dependent diabetes mellitus|C0011860
