"feature_name","count_type","description"
"m_AB0005701","number of distinct months the feature was observed","NLP concept CUI AB0005701"
"m_AB0006602","number of distinct months the feature was observed","NLP concept CUI AB0006602"
"m_AB0007034","number of distinct months the feature was observed","NLP concept CUI AB0007034"
"m_AB0007370","number of distinct months the feature was observed","NLP concept CUI AB0007370"
"m_AB0007393","number of distinct months the feature was observed","NLP concept CUI AB0007393"
"m_AB0008523","number of distinct months the feature was observed","NLP concept CUI AB0008523"
"m_AB0008947","number of distinct months the feature was observed","NLP concept CUI AB0008947"
"m_AB0009055","number of distinct months the feature was observed","NLP concept CUI AB0009055"
"m_AB0011195","number of distinct months the feature was observed","NLP concept CUI AB0011195"
"m_AB0013458","number of distinct months the feature was observed","NLP concept CUI AB0013458"
"m_AB0013706","number of distinct months the feature was observed","NLP concept CUI AB0013706"
"m_AB0014980","number of distinct months the feature was observed","NLP concept CUI AB0014980"
"m_AB0017692","number of distinct months the feature was observed","NLP concept CUI AB0017692"
"m_AB0018717","number of distinct months the feature was observed","NLP concept CUI AB0018717"
"m_AB0018858","number of distinct months the feature was observed","NLP concept CUI AB0018858"
"m_AB0018862","number of distinct months the feature was observed","NLP concept CUI AB0018862"
"m_AB0022242","number of distinct months the feature was observed","NLP concept CUI AB0022242"
"m_AB0023379","number of distinct months the feature was observed","NLP concept CUI AB0023379"
"m_AB0023606","number of distinct months the feature was observed","NLP concept CUI AB0023606"
"m_AB0023778","number of distinct months the feature was observed","NLP concept CUI AB0023778"
"m_AB0024655","number of distinct months the feature was observed","NLP concept CUI AB0024655"
"m_AB0025021","number of distinct months the feature was observed","NLP concept CUI AB0025021"
"m_AB0025834","number of distinct months the feature was observed","NLP concept CUI AB0025834"
"m_AB0026493","number of distinct months the feature was observed","NLP concept CUI AB0026493"
"m_AB0027013","number of distinct months the feature was observed","NLP concept CUI AB0027013"
"m_AB0027306","number of distinct months the feature was observed","NLP concept CUI AB0027306"
"m_AB0027420","number of distinct months the feature was observed","NLP concept CUI AB0027420"
"m_AB0027874","number of distinct months the feature was observed","NLP concept CUI AB0027874"
"m_AB0028309","number of distinct months the feature was observed","NLP concept CUI AB0028309"
